STATE/UT,YEAR,DEMOGRAPHIC PARTICULARS,Male Convicts,Female Convicts,Total Convicts,Male Under trial,Female Under trial,Total Under trial,Male Detenues,Female Detenues,Total Detenues,Male Others,Female Others,Total Others,Total Male,Total Female,Grand Total
ANDHRA PRADESH,2001,Educational Standard,4119,102,4221,8360,482,8842,4,1,5,22,0,22,12505,585,13090
ANDHRA PRADESH,2001,Educational Standard - Illiterate,1441,82,1523,3794,361,4155,1,1,2,8,0,8,5244,444,5688
ANDHRA PRADESH,2001,Educational Standard - Below Class X,1729,20,1749,2833,89,2922,0,0,0,10,0,10,4572,109,4681
ANDHRA PRADESH,2001,Educational Standard - Class X and above but below graduate,532,0,532,1260,26,1286,2,0,2,2,0,2,1796,26,1822
ANDHRA PRADESH,2001,Educational Standard - Graduate,299,0,299,272,3,275,0,0,0,2,0,2,573,3,576
ANDHRA PRADESH,2001,Educational Standard - Post-Graduate,72,0,72,37,1,38,0,0,0,0,0,0,109,1,110
ANDHRA PRADESH,2001,Educational Standard - Holding technical degree/diploma etc,46,0,46,164,2,166,1,0,1,0,0,0,211,2,213
ANDHRA PRADESH,2002,Educational Standard,4721,151,4872,7992,557,8549,2,0,2,0,0,0,12715,708,13423
ANDHRA PRADESH,2002,Educational Standard - Illiterate,1931,93,2024,3649,464,4113,0,0,0,0,0,0,5580,557,6137
ANDHRA PRADESH,2002,Educational Standard - Below Class X,1879,54,1933,2882,74,2956,0,0,0,0,0,0,4761,128,4889
ANDHRA PRADESH,2002,Educational Standard - Class X and above but below graduate,647,4,651,1150,16,1166,2,0,2,0,0,0,1799,20,1819
ANDHRA PRADESH,2002,Educational Standard - Graduate,189,0,189,181,2,183,0,0,0,0,0,0,370,2,372
ANDHRA PRADESH,2002,Educational Standard - Post-Graduate,21,0,21,35,0,35,0,0,0,0,0,0,56,0,56
ANDHRA PRADESH,2002,Educational Standard - Holding technical degree/diploma etc,54,0,54,95,1,96,0,0,0,0,0,0,149,1,150
ANDHRA PRADESH,2003,Educational Standard,4975,172,5147,8378,541,8919,18,0,18,0,0,0,13371,713,14084
ANDHRA PRADESH,2003,Educational Standard - Illiterate,1653,91,1744,3242,365,3607,7,0,7,0,0,0,4902,456,5358
ANDHRA PRADESH,2003,Educational Standard - Below Class X,2317,69,2386,3507,133,3640,6,0,6,0,0,0,5830,202,6032
ANDHRA PRADESH,2003,Educational Standard - Class X and above but below graduate,736,10,746,1178,37,1215,3,0,3,0,0,0,1917,47,1964
ANDHRA PRADESH,2003,Educational Standard - Graduate,210,1,211,303,6,309,2,0,2,0,0,0,515,7,522
ANDHRA PRADESH,2003,Educational Standard - Post-Graduate,32,1,33,66,0,66,0,0,0,0,0,0,98,1,99
ANDHRA PRADESH,2003,Educational Standard - Holding technical degree/diploma etc,27,0,27,82,0,82,0,0,0,0,0,0,109,0,109
ANDHRA PRADESH,2004,Educational Standard,4568,197,4765,8499,579,9078,29,9,38,0,0,0,13096,785,13881
ANDHRA PRADESH,2004,Educational Standard - Illiterate,1616,143,1759,3546,404,3950,10,9,19,0,0,0,5172,556,5728
ANDHRA PRADESH,2004,Educational Standard - Below Class X,2084,50,2134,3463,145,3608,9,0,9,0,0,0,5556,195,5751
ANDHRA PRADESH,2004,Educational Standard - Class X and above but below graduate,645,1,646,1089,23,1112,8,0,8,0,0,0,1742,24,1766
ANDHRA PRADESH,2004,Educational Standard - Graduate,162,3,165,301,7,308,2,0,2,0,0,0,465,10,475
ANDHRA PRADESH,2004,Educational Standard - Post-Graduate,31,0,31,46,0,46,0,0,0,0,0,0,77,0,77
ANDHRA PRADESH,2004,Educational Standard - Holding technical degree/diploma etc,30,0,30,54,0,54,0,0,0,0,0,0,84,0,84
ANDHRA PRADESH,2005,Educational Standard,4813,198,5011,8906,686,9592,10,0,10,0,0,0,13729,884,14613
ANDHRA PRADESH,2005,Educational Standard - Illiterate,1592,126,1718,3320,421,3741,6,0,6,0,0,0,4918,547,5465
ANDHRA PRADESH,2005,Educational Standard - Below Class X,2271,69,2340,4056,233,4289,2,0,2,0,0,0,6329,302,6631
ANDHRA PRADESH,2005,Educational Standard - Class X and above but below graduate,701,1,702,1112,26,1138,1,0,1,0,0,0,1814,27,1841
ANDHRA PRADESH,2005,Educational Standard - Graduate,181,2,183,322,6,328,1,0,1,0,0,0,504,8,512
ANDHRA PRADESH,2005,Educational Standard - Post-Graduate,35,0,35,38,0,38,0,0,0,0,0,0,73,0,73
ANDHRA PRADESH,2005,Educational Standard - Holding technical degree/diploma etc,33,0,33,58,0,58,0,0,0,0,0,0,91,0,91
ANDHRA PRADESH,2006,Educational Standard,5080,207,5287,9445,637,10082,17,1,18,34,0,34,14576,845,15421
ANDHRA PRADESH,2006,Educational Standard - Illiterate,1700,132,1832,3908,482,4390,1,0,1,5,0,5,5614,614,6228
ANDHRA PRADESH,2006,Educational Standard - Below Class X,2202,61,2263,3653,132,3785,16,1,17,23,0,23,5894,194,6088
ANDHRA PRADESH,2006,Educational Standard - Class X and above but below graduate,818,6,824,1429,21,1450,0,0,0,3,0,3,2250,27,2277
ANDHRA PRADESH,2006,Educational Standard - Graduate,167,7,174,304,2,306,0,0,0,1,0,1,472,9,481
ANDHRA PRADESH,2006,Educational Standard - Post-Graduate,52,0,52,50,0,50,0,0,0,2,0,2,104,0,104
ANDHRA PRADESH,2006,Educational Standard - Holding technical degree/diploma etc,141,1,142,101,0,101,0,0,0,0,0,0,242,1,243
ANDHRA PRADESH,2007,Educational Standard,5327,232,5559,8810,635,9445,21,0,21,20,0,20,14178,867,15045
ANDHRA PRADESH,2007,Educational Standard - Illiterate,1420,155,1575,3386,466,3852,5,0,5,3,0,3,4814,621,5435
ANDHRA PRADESH,2007,Educational Standard - Below Class X,2478,52,2530,4034,132,4166,11,0,11,11,0,11,6534,184,6718
ANDHRA PRADESH,2007,Educational Standard - Class X and above but below graduate,1019,18,1037,957,23,980,5,0,5,6,0,6,1987,41,2028
ANDHRA PRADESH,2007,Educational Standard - Graduate,189,6,195,221,8,229,0,0,0,0,0,0,410,14,424
ANDHRA PRADESH,2007,Educational Standard - Post-Graduate,55,0,55,58,0,58,0,0,0,0,0,0,113,0,113
ANDHRA PRADESH,2007,Educational Standard - Holding technical degree/diploma etc,166,1,167,154,6,160,0,0,0,0,0,0,320,7,327
ANDHRA PRADESH,2008,Educational Standard,5155,223,5378,8018,651,8669,21,0,21,12,0,12,13206,874,14080
